"filename", "language", "XML", "Dart", "JSON", "YAML", "Markdown", "Gradle", "Properties", "Swift", "C++", "comment", "blank", "total"
"/Users/macbook/Documents/GitHub/godofdiscipline/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"/Users/macbook/Documents/GitHub/godofdiscipline/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"/Users/macbook/Documents/GitHub/godofdiscipline/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/macbook/Documents/GitHub/godofdiscipline/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"/Users/macbook/Documents/GitHub/godofdiscipline/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/Users/macbook/Documents/GitHub/godofdiscipline/ios/Runner/Base.lproj/Main.storyboard", "XML", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/macbook/Documents/GitHub/godofdiscipline/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/Users/macbook/Documents/GitHub/godofdiscipline/ios/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"/Users/macbook/Documents/GitHub/godofdiscipline/ios/firebase_app_id_file.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/api/auth/auth.dart", "Dart", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 9, 82
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/api/user/user.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/auth/login/login_bloc.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/auth/login/login_event.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/auth/login/login_state.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/auth/register/register_bloc.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 3, 52
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/auth/register/register_event.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/auth/register/register_state.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/main/bloc/main_bloc.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/main/bloc/main_event.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/main/bloc/main_state.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/profile/bloc/profile_bloc.dart", "Dart", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 8, 124
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/profile/bloc/profile_event.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/blocs/profile/bloc/profile_state.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/firebase_options.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 12, 4, 69
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/main.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/AppUser/app_user.dart", "Dart", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 13, 133
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/AppUser/app_user.g.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 5, 41
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/day/day.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/day/day.g.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/level/level.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 6, 8, 68
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/level/level.g.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 4, 6, 41
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/levelday/levelday.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 6, 35
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/levelday/levelday.g.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 6, 30
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/settings/settings.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/settings/settings.g.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 5, 17
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/statistics/statistics.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/statistics/statistics.g.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 4, 6, 45
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/task/task.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/models/task/task.g.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 6, 32
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/router/router.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
