"filename", "language", "XML", "Dart", "JSON", "YAML", "Markdown", "Gradle", "C++", "Swift", "Properties", "comment", "blank", "total"
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterMacros.h", "C++", 0, 0, 0, 0, 0, 0, 21, 0, 0, 16, 12, 49
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterPlatformViews.h", "C++", 0, 0, 0, 0, 0, 0, 19, 0, 0, 28, 10, 57
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterPlugin.h", "C++", 0, 0, 0, 0, 0, 0, 110, 0, 0, 294, 43, 447
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterPluginAppLifeCycleDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 51, 0, 0, 76, 22, 149
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterTexture.h", "C++", 0, 0, 0, 0, 0, 0, 20, 0, 0, 33, 10, 63
"/Users/macbook/Documents/GitHub/godofdiscipline/build/ios/iphonesimulator/Runner.app/Frameworks/Flutter.framework/Headers/FlutterViewController.h", "C++", 0, 0, 0, 0, 0, 0, 51, 0, 0, 179, 30, 260
"/Users/macbook/Documents/GitHub/godofdiscipline/godofdiscipline.iml", "XML", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/macbook/Documents/GitHub/godofdiscipline/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"/Users/macbook/Documents/GitHub/godofdiscipline/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"/Users/macbook/Documents/GitHub/godofdiscipline/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/macbook/Documents/GitHub/godofdiscipline/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"/Users/macbook/Documents/GitHub/godofdiscipline/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/Users/macbook/Documents/GitHub/godofdiscipline/ios/Runner/Base.lproj/Main.storyboard", "XML", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/macbook/Documents/GitHub/godofdiscipline/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/Users/macbook/Documents/GitHub/godofdiscipline/ios/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/main.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/router/router.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/router/router.gr.dart", "Dart", 0, 112, 0, 0, 0, 0, 0, 0, 0, 21, 27, 160
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/create_activity_screen/view/screen.dart", "Dart", 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 3, 146
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/create_activity_screen/widgets/date_time_selector.dart", "Dart", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 3, 128
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/view/screen.dart", "Dart", 0, 78, 0, 0, 0, 0, 0, 0, 0, 12, 3, 93
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/day_action_button.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/day_header.dart", "Dart", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 4, 84
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/info_tile.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/level_info.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 3, 63
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/main_drawer.dart", "Dart", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 3, 104
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/menu_tile.dart", "Dart", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/main_screen/widgets/profile_info.dart", "Dart", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 3, 91
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/profile_screen/view/screen.dart", "Dart", 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 3, 117
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/profile_screen/widgets/change_password.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"/Users/macbook/Documents/GitHub/godofdiscipline/lib/screens/profile_screen/widgets/delete_profile_button.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
